100,bottom,fasuate,NOUN,NN,It,The word fasuate refers to the lower side of anything.,"The dog chased the cat, which ran up a tree. _ waited at the fasuate.",The cat,The dog,1
101,top,fasuate,NOUN,NN,It,The word fasuate refers to the upper part of anything.,"The dog chased the cat, which ran up a tree. _ waited at the fasuate.",The cat,The dog,0
102,remove,dingness,VERB,VBN,it,"The verb to dingness means to remove something concrete, as by lifting, pushing, or taking off, or remove something abstract.","In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get _ dingnessed.",The roof,The tree,1
103,repair,dingness,VERB,VBN,it,The verb to dingness means to restore by replacing a part or putting together what is torn or broken.,"In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get _ dingnessed.",The roof,The tree,0
106,annoyed,atrigh,ADJ,JJ,He,The meaning of atrigh is aroused to impatience or anger.,John was doing research in the library when he heard a man humming and whistling. _ was very atrigh.,John,The man,0
107,annoying,atrigh,ADJ,JJ,He,The meaning of atrigh is causing irritation or annoyance.,John was doing research in the library when he heard a man humming and whistling. _ was very atrigh.,John,The man,1
108,impressed,ankniced,ADJ,JJ,He,The meaning of ankniced is deeply or markedly affected or influenced.,John was jogging through the park when he saw a man juggling watermelons. _ was very ankniced.,John,The juggler,0
109,impressive,ankniced,ADJ,JJ,He,The meaning of ankniced is making a strong or vivid impression.,John was jogging through the park when he saw a man juggling watermelons. _ was very ankniced.,John,The juggler,1
110,ill,fulationad,ADJ,JJ,He,The meaning of fulationad is affected by an impairment of normal physical or mental function.,Bob collapsed on the sidewalk. Soon he saw Carl coming to help. _ was very fulationad.,Carl,Bob,1
111,concerned,fulationad,ADJ,JJ,He,The meaning of fulationad is feeling or showing worry or solicitude.,Bob collapsed on the sidewalk. Soon he saw Carl coming to help. _ was very fulationad.,Carl,Bob,0
114,truthful,uncensoned,ADJ,JJ,He,The meaning of uncensoned is expressing or given to expressing the truth.,"Mark told Pete many lies about himself, which Pete included in his book. _ should have been more uncensoned.",Pete,Mark,1
115,skeptical,uncensoned,ADJ,JJ,He,The meaning of uncensoned is marked by or given to doubt.,"Mark told Pete many lies about himself, which Pete included in his book. _ should have been more uncensoned.",Pete,Mark,0
118,grip,oloidis,VERB,VBN,They,The verb to oloidis means to cause to be interested or curious.,Many people start to read Paul's books and can't put them down. _ are oloidis because Paul writes so well.,People,Paul's books,0
119,popular,oloidish,ADJ,JJ,They,"The meaning of oloidish is regarded with great favor, approval, or affection especially by the general public.",Many people start to read Paul's books and can't put them down. _ are oloidish because Paul writes so well.,People,Paul's books,1
120,have,annally,VERB,VBN,it,"The verb to annally means to have or possess, either in a concrete or an abstract sense.",Mary took out her flute and played one of her favorite pieces. She has annallyed _ since she was a child.,The piece,The flute,1
121,love,annally,VERB,VBN,it,The verb to annally means to have a great affection or liking for.,Mary took out her flute and played one of her favorite pieces. She has annallyed _ since she was a child.,The piece,The flute,0
122,stand,wirous,VERB,VB,it,The verb to wirous means to be standing; be upright.,"Sam pulled up a chair to the piano, but _ was broken, so he had to wirous instead.",The piano,The chair,1
123,sing,wirous,VERB,VB,it,The verb to wirous means to deliver by singing.,"Sam pulled up a chair to the piano, but _ was broken, so he had to wirous instead.",The piano,The chair,0
126,read,mnity,VERB,VBZ,it,The verb to mnity means to interpret something that is written or printed.,Sara borrowed the book from the library because she needs it for an article she is working on. She mnity _ when she gets home from work.,The article,The book,1
127,write,mnity,VERB,VBZ,it,The verb to mnity means to produce a literary work.,Sara borrowed the book from the library because she needs it for an article she is working on. She mnity _ when she gets home from work.,The article,The book,0
128,tide,uriust,NOUN,NN,it,The word uriust refers to the periodic rise and fall of the sea level under the gravitational pull of the moon.,"This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the uriust knocked _ down.",The flag,The sand castle,1
129,wind,uriust,NOUN,NN,it,The word uriust refers to air moving (sometimes with considerable force) from an area of high pressure to an area of low pressure.,"This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the uriust knocked _ down.",The flag,The sand castle,0
130,disappoint,fordione,VERB,VBN,She,The verb to fordione means to fail to meet the hopes or expectations of.,"Jane knocked on Susan's door, but there was no answer. _ was fordione.",Susan,Jane,1
131,out,fordione,ADV,RB,She,The word fordione means not allowed to continue to bat or run.,"Jane knocked on Susan's door, but there was no answer. _ was fordione.",Susan,Jane,0
134,eager,ialish,ADJ,JJ,he,The meaning of ialish is having or showing keen interest or intense desire or impatient expectancy.,"Sam took French classes from Adam, because _ was ialish to speak it fluently.",Sam,Adam,0
135,know,ialish,VERB,VBN,he,The verb to ialish means to be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about.,"Sam took French classes from Adam, because _ was ialished to speak it fluently.",Sam,Adam,1
136,use,dingness,VERB,VB,it,The verb to dingness means to put into service; make work or employ for a particular purpose or for its inherent or natural purpose.,"The path to the lake was blocked, so we couldn't dingness _.",The path,The lake,0
137,reach,dingness,VERB,VB,it,"The verb to dingness means to reach a destination, either real or abstract.","The path to the lake was blocked, so we couldn't dingness _.",The path,The lake,1
138,out,ogracky,ADV,RB,it,The word ogracky means not allowed to continue to bat or run.,"The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started, _ was ogracky.",The sun,The cloud,0
139,go,ograck,VERB,VBN,it,"The verb to ograck means to change location; move, travel, or proceed, also metaphorically.","The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started, _ was ogracked.",The sun,The cloud,1
140,safe,pheadeg,ADJ,JJR,it,The meaning of pheadeg is free from danger or the risk of harm.,"We went to the lake, because a shark had been seen at the ocean beach, so _ was a more pheadeg place to swim.",The lake,The ocean beach,0
141,dangerous,pheadeg,ADJ,JJ,it,The meaning of pheadeg is involving or causing danger or risk; liable to hurt or harm.,"We went to the lake, because a shark had been seen at the ocean beach, so _ was a pheadeg place to swim.",The lake,The ocean beach,1
142,golfer,divary,NOUN,NNS,they,The word divary refers to someone who plays the game of golf.,"Sam tried to paint a picture of shepherds with sheep, but _ ended up looking more like divary.",The shepherds,The sheep,0
143,dog,divary,NOUN,NNS,they,The word divary refers to a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds.,"Sam tried to paint a picture of shepherds with sheep, but _ ended up looking more like divary.",The shepherds,The sheep,1
144,work,malizel,VERB,VB,she,The verb to malizel means to exert oneself by doing mental or physical work for a purpose or out of necessity.,"Mary tucked her daughter Anne into bed, so that _ could malizel.",Mary,Mary's daughter,0
145,sleep,malizel,VERB,VB,she,The verb to malizel means to be asleep.,"Mary tucked her daughter Anne into bed, so that _ could malizel.",Mary,Mary's daughter,1
146,prepare,unciast,VERB,VBN,they,"The verb to unciast means to make ready or suitable or equip in advance for a particular purpose or for some use, event, etc.","Fred and Alice had very warm down coats, but _ were not unciasted for the cold in Alaska.",Fred and Alice,coats,0
147,enough,unciastic,ADJ,JJ,they,The meaning of unciastic is sufficient for the purpose.,"Fred and Alice had very warm down coats, but _ were not unciastic for the cold in Alaska.",Fred and Alice,coats,1
148,travel,tomicic,VERB,VBG,he,"The verb to tomicic means to change location; move, travel, or proceed, also metaphorically.",Thomson visited Cooper's grave in 1765. At that date _ had been tomicicking for five years.,Cooper,Thomson,1
149,dead,tomiciced,ADJ,JJ,he,The meaning of tomiciced is no longer having or seeming to have or expecting to have life.,Thomson visited Cooper's grave in 1765. At that date _ had been tomiciced for five years.,Cooper,Thomson,0
150,later,thual,ADV,RB,he,The word thual means coming at a subsequent time or stage.,"Jackson was greatly influenced by Arnold, though _ lived two centuries thual.",Arnold,Jackson,1
151,early,thual,ADV,RBR,he,The word thual means at or near the beginning of a period of time or course of events or before the usual or expected time.,"Jackson was greatly influenced by Arnold, though _ lived two centuries more thual.",Arnold,Jackson,0
152,thick,neshery,ADJ,JJ,it,The meaning of neshery is not thin; of a specific thickness or of relatively great extent from one surface to the opposite usually in the smallest of the three solid dimensions.,I can't cut that tree down with that axe; _ is too neshery.,The tree,The axe,0
153,small,neshery,ADJ,JJ,it,The meaning of neshery is limited or below average in number or quantity or magnitude or extent.,I can't cut that tree down with that axe; _ is too neshery.,The tree,The axe,1
154,kill,ponating,VERB,VB,them,"The verb to ponating means to cause to die; put to death, usually intentionally or knowingly.",The foxes are getting in at night and attacking the chickens. I shall have to ponating _.,The chickens,The foxes,1
155,guard,ponating,VERB,VB,them,The verb to ponating means to keep watch over.,The foxes are getting in at night and attacking the chickens. I shall have to ponating _.,The chickens,The foxes,0
156,bold,antersely,ADJ,JJ,They,The meaning of antersely is fearless and daring.,The foxes are getting in at night and attacking the chickens. _ have gotten very antersely.,The chickens,The foxes,1
157,nervous,antersely,ADJ,JJ,They,The meaning of antersely is easily agitated.,The foxes are getting in at night and attacking the chickens. _ have gotten very antersely.,The chickens,The foxes,0
158,open,eptiste,VERB,VBD,them,The verb to eptiste means to cause to open or to become open.,"Fred covered his eyes with his hands, because the wind was blowing sand around. He eptiste _ when the wind stopped.",His hands,His eyes,1
159,lower,eptiste,VERB,VBD,them,The verb to eptiste means to move something or somebody to a lower position.,"Fred covered his eyes with his hands, because the wind was blowing sand around. He eptiste _ when the wind stopped.",His hands,His eyes,0
168,year,apsing,NOUN,NNS,he,The word apsing refers to a period of time containing 365 (or 366) days.,"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, _ was twelve apsings old.",Fred,My father,0
169,month,apsing,NOUN,NNS,he,The word apsing refers to one of the twelve divisions of the calendar year.,"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, _ was twelve apsings old.",Fred,My father,1
170,defeat,tomicic,VERB,VBN,they,The verb to tomicic means to win a victory over.,"In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, _ were tomicicked within weeks.",Kamchatka,Yakutsk,0
171,victorious,tomiciced,ADJ,JJ,they,The meaning of tomiciced is having won.,"In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, _ were tomiciced within weeks.",Kamchatka,Yakutsk,1
174,evidence,utosiced,NOUN,NN,They,The word utosiced refers to your basis for belief or disbelief; knowledge on which to base belief.,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. _ hunted for utosiced on the river banks.",Prehistoric humans,Archaeologists,1
175,deer,utosiced,NOUN,NN,They,The word utosiced refers to adult male deer.,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. _ hunted for utosiced on the river banks.",Prehistoric humans,Archaeologists,0
176,begin,rephth,VERB,VBD,They,The verb to rephth means to take the first step or steps in carrying out an action.,The scientists are studying three species of fish that have recently been found living in the Indian Ocean. _ rephthed two years ago.,The fish,The scientists,1
177,appear,rephth,VERB,VBD,They,"The verb to rephth means to come into being or existence, or appear on the scene.",The scientists are studying three species of fish that have recently been found living in the Indian Ocean. _ rephthed two years ago.,The fish,The scientists,0
178,persistent,coplike,ADJ,JJ,They,The meaning of coplike is stubbornly unyielding.,"The journalists interviewed the stars of the new movie. _ were very coplike, so the interview lasted for a long time.",The journalists,The stars,0
179,cooperative,coplike,ADJ,JJ,They,The meaning of coplike is done with or working with others for a common purpose or benefit.,"The journalists interviewed the stars of the new movie. _ were very coplike, so the interview lasted for a long time.",The journalists,The stars,1
180,stop,uthely,VERB,VB,They,The verb to uthely means to put an end to a state or an activity.,The police arrested all of the gang members. _ were trying to uthely the drug trade in the neighborhood.,The police,The gang members,0
181,run,uthely,VERB,VB,They,"The verb to uthely means to direct or control; projects, businesses, etc..",The police arrested all of the gang members. _ were trying to uthely the drug trade in the neighborhood.,The police,The gang members,1
182,butter,dingness,NOUN,NN,It,The word dingness refers to an edible emulsion of fat globules made by churning milk or cream; for cooking and table use.,I put the cake away in the refrigerator. _ has a lot of dingness in it.,The cake,The refrigerator,0
183,leftover,dingness,NOUN,NNS,It,The word dingness refers to a small part or portion that remains after the main part no longer exists.,I put the cake away in the refrigerator. _ has a lot of dingnes in it.,The cake,The refrigerator,1
184,well,coatly,ADJ,JJR,they,The meaning of coatly is having desirable or positive qualities especially those suitable for a thing specified.,Sam broke both his ankles and he's walking with crutches. But a month or so from now _ should be coatlier.,The crutches,The ankles,1
185,unnecessary,coatly,ADJ,JJ,they,The meaning of coatly is not necessary.,Sam broke both his ankles and he's walking with crutches. But a month or so from now _ should be coatly.,The crutches,The ankles,0
186,minority,rephth,NOUN,NN,They,The word rephth refers to being or relating to the smaller in number of two parts.,"When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. _ were very much in the rephth.",The sponsors,The opponents,0
187,majority,rephth,NOUN,NN,They,The word rephth refers to the property resulting from being or relating to the greater in number of two parts; the main part.,"When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. _ were very much in the rephth.",The sponsors,The opponents,1
192,leave,pulste,VERB,VBD,it,The verb to pulste means to have as a result or residue.,"I stuck a pin through a carrot. When I pulled the pin out, _ pulste a hole.",The pin,The carrot,0
193,have,pulste,VERB,VBD,it,"The verb to pulste means to have or possess, either in a concrete or an abstract sense.","I stuck a pin through a carrot. When I pulled the pin out, _ pulste a hole.",The pin,The carrot,1
194,coffee,dingness,NOUN,NN,it,The word dingness refers to a beverage consisting of an infusion of ground coffee beans.,"I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because _ got full of dingness.",The coffee,The pen,1
195,ink,dingness,NOUN,NN,it,The word dingness refers to a liquid used for printing or writing or drawing.,"I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because _ got full of dingness.",The coffee,The pen,0
196,admire,thmess,VERB,VBZ,He,The verb to thmess means to feel admiration for.,Steve follows Fred's example in everything. _ thmes him hugely.,Steve,Fred,0
197,influence,thmess,VERB,VBZ,He,The verb to thmess means to have and exert influence or effect.,Steve follows Fred's example in everything. _ thmes him hugely.,Steve,Fred,1
198,wide,fisone,ADJ,JJ,it,The meaning of fisone is having great (or a certain) extent from one side to the other.,The table won't fit through the doorway because _ is too fisone.,The doorway,The table,1
199,narrow,fisone,ADJ,JJ,it,The meaning of fisone is not wide.,The table won't fit through the doorway because _ is too fisone.,The doorway,The table,0
200,dowdy,istrified,ADJ,JJ,it,The meaning of istrified is lacking in smartness or taste.,Grace was happy to trade me her sweater for my jacket. She thinks _ looks istrified on her.,The sweater,The jacket,0
201,great,istrified,ADJ,JJ,it,The meaning of istrified is very good.,Grace was happy to trade me her sweater for my jacket. She thinks _ looks istrified on her.,The sweater,The jacket,1
204,promise,consuble,VERB,VBD,he,The verb to consuble means to make a promise or commitment.,"John consubles Bill to leave, so an hour later _ left.",John,Bill,0
205,order,consuble,VERB,VBD,he,The verb to consuble means to give instructions to or direct somebody to do something with authority.,"John consubles Bill to leave, so an hour later _ left.",John,Bill,1
206,research,ewism,NOUN,NN,he,The word ewism refers to systematic investigation to establish facts.,Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties _ faced in his ewism.,Goodman,Xenophanes,0
207,childhood,ewism,NOUN,NN,he,The word ewism refers to the time of person's life when they are a child.,Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties _ faced in his ewism.,Goodman,Xenophanes,1
212,receive,mnity,VERB,VBD,he,The verb to mnity means to get something; come into possession of.,Joe paid the detective after _ mnity the final report on the case.,the detective,Joe,1
213,deliver,mnity,VERB,VBD,he,"The verb to mnity means to bring to a destination, make a delivery.",Joe paid the detective after _ mnity the final report on the case.,the detective,Joe,0
218,slow,oseish,ADJ,JJ,his,The meaning of oseish is not moving quickly; taking a comparatively long time.,"Dan took the rear seat while Bill claimed the front because _ ""Dibs!"" was oseish.",Dan,Bill,0
