id,lemma,fake_lemma,pos,tag,pronoun,definition,sentence,option1,option2,label
18,short,short,ADJ,JJ,he,The meaning of short is low in stature; not tall.,John couldn't see the stage with Billy in front of him because _ is so short.,Billy,John,1
19,tall,tall,ADJ,JJ,he,The meaning of tall is great in vertical dimension; high in stature.,John couldn't see the stage with Billy in front of him because _ is so tall.,Billy,John,0
20,top,top,NOUN,NN,he,The word top refers to the upper part of anything.,Tom threw his schoolbag down to Ray after _ reached the top of the stairs.,Tom,Ray,0
21,bottom,bottom,NOUN,NN,he,The word bottom refers to the lower side of anything.,Tom threw his schoolbag down to Ray after _ reached the bottom of the stairs.,Tom,Ray,1
22,good,good,ADJ,JJ,she,The meaning of good is having desirable or positive qualities especially those suitable for a thing specified.,"Although they ran at about the same speed, Sue beat Sally because _ had such a good start.",Sue,Sally,0
23,bad,bad,ADJ,JJ,she,The meaning of bad is having undesirable or negative qualities.,"Although they ran at about the same speed, Sue beat Sally because _ had such a bad start.",Sue,Sally,1
24,anchor,anchor,VERB,VBN,it,The verb to anchor means to fix firmly and stably.,The sculpture rolled off the shelf because _ wasn't anchored.,The shelf,The sculpture,1
25,level,level,NOUN,NN,it,The word level refers to being on a precise horizontal plane.,The sculpture rolled off the shelf because _ wasn't level.,The shelf,The sculpture,0
28,well,well,ADJ,JJR,she,The meaning of well is having desirable or positive qualities especially those suitable for a thing specified.,Anna did a lot better than her good friend Lucy on the test because _ had studied so hard.,Anna,Lucy,0
29,bad,bad,ADJ,JJR,she,The meaning of bad is having undesirable or negative qualities.,Anna did a lot worse than her good friend Lucy on the test because _ had studied so hard.,Anna,Lucy,1
40,punish,punish,VERB,VBD,them,The verb to punish means to impose a penalty on; inflict punishment on.,"The older students were bullying the younger ones, so we punished _.",The younger students,The older students,1
41,rescue,rescue,VERB,VBD,them,The verb to rescue means to free from harm or evil.,"The older students were bullying the younger ones, so we rescued _.",The younger students,The older students,0
42,empty,empty,ADJ,JJ,it,The meaning of empty is holding or containing nothing.,I poured water from the bottle into the cup until _ was empty.,the bottle,the cup,0
43,full,full,ADJ,JJ,it,The meaning of full is containing as much or as many as is possible or normal.,I poured water from the bottle into the cup until _ was full.,the bottle,the cup,1
44,nosy,nosy,ADJ,JJ,she,The meaning of nosy is offensively curious or inquisitive.,Susan knows all about Ann's personal problems because _ is nosy.,Susan,Ann,0
45,indiscreet,indiscreet,ADJ,JJ,she,The meaning of indiscreet is lacking discretion; injudicious.,Susan knows all about Ann's personal problems because _ is indiscreet.,Susan,Ann,1
46,convince,convince,VERB,VB,he,"The verb to convince means to make (someone) agree, understand, or realize the truth or validity of something.",Sid explained his theory to Mark but _ couldn't convince him.,Sid,Mark,0
47,understand,understand,VERB,VB,he,The verb to understand means to know and comprehend the nature or meaning of.,Sid explained his theory to Mark but _ couldn't understand him.,Sid,Mark,1
50,young,young,ADJ,JJR,he,The meaning of young is (used of living things especially persons) in an early period of life or development or growth.,"Joe's uncle can still beat him at tennis, even though _ is 30 years younger.",Joe,Joe's uncle,0
51,old,old,ADJ,JJR,he,The meaning of old is (used especially of persons) having lived for a relatively long time or attained a specific age.,"Joe's uncle can still beat him at tennis, even though _ is 30 years older.",Joe,Joe's uncle,1
56,clean,clean,VERB,VBN,It,"The verb to clean means to make clean by removing dirt, filth, or unwanted substances from.",The drain is clogged with hair. _ has to be cleaned.,The drain,The hair,0
57,remove,remove,VERB,VBN,It,"The verb to remove means to remove something concrete, as by lifting, pushing, or taking off, or remove something abstract.",The drain is clogged with hair. _ has to be removed.,The drain,The hair,1
58,short,short,ADJ,JJ,it,The meaning of short is primarily temporal sense; indicating or being or seeming to be limited in duration.,"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily, _ was short, so it worked out.",The train,The meeting,1
59,delay,delay,VERB,VBN,it,The verb to delay means to cause to be slowed down or delayed.,"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily, _ was delayed, so it worked out.",The train,The meeting,0
66,trash,trash,NOUN,NN,it,The word trash refers to worthless material that is to be disposed of.,"I used an old rag to clean the knife, and then I put _ in the trash.",The rag,The knife,0
67,drawer,drawer,NOUN,NN,it,The word drawer refers to a boxlike container in a piece of furniture; made so as to slide in and out.,"I used an old rag to clean the knife, and then I put _ in the drawer.",The rag,The knife,1
70,handy,handy,ADJ,JJ,it,The meaning of handy is easy to reach.,I took the water bottle out of the backpack so that _ would be handy.,The water bottle,The backpack,0
71,light,light,ADJ,JJR,it,The meaning of light is of comparatively little physical weight or density.,I took the water bottle out of the backpack so that _ would be lighter.,The water bottle,The backpack,1
72,tall,tall,ADJ,JJ,it,The meaning of tall is great in vertical dimension; high in stature.,I couldn't put the pot on the shelf because _ was too tall.,The shelf,The pot,1
73,high,high,ADJ,JJ,it,The meaning of high is being at or having a relatively great or specific elevation or upward extension.,I couldn't put the pot on the shelf because _ was too high.,The shelf,The pot,0
74,good,good,ADJ,JJ,it,The meaning of good is having desirable or positive qualities especially those suitable for a thing specified.,I'm sure that my map will show this building; _ is very good.,The map,The building,0
75,famous,famous,ADJ,JJ,it,The meaning of famous is widely known and esteemed.,I'm sure that my map will show this building; _ is very famous.,The map,The building,1
76,generous,generous,ADJ,JJ,He,The meaning of generous is willing to give and share unstintingly.,Bob paid for Charlie's college education. _ is very generous.,Charlie,Bob,1
77,grateful,grateful,ADJ,JJ,He,The meaning of grateful is feeling or showing gratitude.,Bob paid for Charlie's college education. _ is very grateful.,Charlie,Bob,0
78,hurt,hurt,ADJ,JJ,He,The meaning of hurt is experiencing intense pain especially mental pain.,"Bob paid for Charlie's college education, but now Charlie acts as though it never happened. _ is very hurt.",Bob,Charlie,0
79,ungrateful,ungrateful,ADJ,JJ,He,The meaning of ungrateful is not feeling or showing gratitude.,"Bob paid for Charlie's college education, but now Charlie acts as though it never happened. _ is very ungrateful.",Bob,Charlie,1
80,win,win,VERB,VBN,he,The verb to win means to be the winner in a contest or competition; be victorious.,"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, _ would have won.",Bob,Adam,0
81,lose,lose,VERB,VBN,he,The verb to lose means to fail to win.,"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, _ would have lost.",Bob,Adam,1
82,go,go,VERB,VBN,he,"The verb to go means to change location; move, travel, or proceed, also metaphorically.","Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, _ would be gone by this time.",Adam,Bob,0
83,here,here,ADV,RB,he,The word here means in or at this place; where the speaker or writer is.,"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, _ would be here by this time.",Adam,Bob,1
84,get,get,VERB,VBN,he,The verb to get means to come into the possession of something concrete or abstract.,"If the con artist has succeeded in fooling Sam, _ would have gotten a lot of money.",Sam,The con artist,1
85,lose,lose,VERB,VBN,he,"The verb to lose means to fail to keep or to maintain; cease to have, either physically or in an abstract sense.","If the con artist has succeeded in fooling Sam, _ would have lost a lot of money.",Sam,The con artist,0
86,hot,hot,ADJ,JJ,it,The meaning of hot is used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning.,"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because _ was hot.",The dog,The spot under the tree,0
87,cool,cool,ADJ,JJR,it,The meaning of cool is neither warm nor very cold; giving relief from heat.,"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because _ was cooler.",The dog,The spot under the tree,1
88,impatient,impatient,ADJ,JJ,it,The meaning of impatient is restless or short-tempered under delay or opposition.,"The cat was lying by the mouse hole waiting for the mouse, but _ was too impatient.",The cat,The mouse,0
89,cautious,cautious,ADJ,JJ,it,The meaning of cautious is showing careful forethought.,"The cat was lying by the mouse hole waiting for the mouse, but _ was too cautious.",The cat,The mouse,1
90,woman,woman,NOUN,NN,She,The word woman refers to an adult female person (as opposed to a man).,Anne gave birth to a daughter last month. _ is a very charming woman.,Anne,Anne's daughter,0
91,baby,baby,NOUN,NN,She,The word baby refers to a very young child (birth to 1 year) who has not yet begun to walk or talk.,Anne gave birth to a daughter last month. _ is a very charming baby.,Anne,Anne's daughter,1
92,chat,chat,VERB,VBG,she,The verb to chat means to talk socially without exchanging too much information.,"Alice tried frantically to stop her daughter from chatting at the party, leaving us to wonder why _ was behaving so strangely.",Alice's daughter,Alice,1
93,bark,bark,VERB,VBG,she,The verb to bark means to speak in an unfriendly tone.,"Alice tried frantically to stop her daughter from barking at the party, leaving us to wonder why _ was behaving so strangely.",Alice's daughter,Alice,0
96,hungry,hungry,ADJ,JJ,It,The meaning of hungry is feeling hunger; feeling a need or desire to eat food.,The fish ate the worm. _ was hungry.,The fish,The worm,0
97,tasty,tasty,ADJ,JJ,It,The meaning of tasty is pleasing to the sense of taste.,The fish ate the worm. _ was tasty.,The fish,The worm,1
100,bottom,bottom,NOUN,NN,It,The word bottom refers to the lower side of anything.,"The dog chased the cat, which ran up a tree. _ waited at the bottom.",The cat,The dog,1
101,top,top,NOUN,NN,It,The word top refers to the upper part of anything.,"The dog chased the cat, which ran up a tree. _ waited at the top.",The cat,The dog,0
102,remove,remove,VERB,VBN,it,"The verb to remove means to remove something concrete, as by lifting, pushing, or taking off, or remove something abstract.","In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get _ removed.",The roof,The tree,1
103,repair,repair,VERB,VBN,it,The verb to repair means to restore by replacing a part or putting together what is torn or broken.,"In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get _ repaired.",The roof,The tree,0
106,annoyed,annoyed,ADJ,JJ,He,The meaning of annoyed is aroused to impatience or anger.,John was doing research in the library when he heard a man humming and whistling. _ was very annoyed.,John,The man,0
107,annoying,annoying,ADJ,JJ,He,The meaning of annoying is causing irritation or annoyance.,John was doing research in the library when he heard a man humming and whistling. _ was very annoying.,John,The man,1
108,impressed,impressed,ADJ,JJ,He,The meaning of impressed is deeply or markedly affected or influenced.,John was jogging through the park when he saw a man juggling watermelons. _ was very impressed.,John,The juggler,0
109,impressive,impressive,ADJ,JJ,He,The meaning of impressive is making a strong or vivid impression.,John was jogging through the park when he saw a man juggling watermelons. _ was very impressive.,John,The juggler,1
110,ill,ill,ADJ,JJ,He,The meaning of ill is affected by an impairment of normal physical or mental function.,Bob collapsed on the sidewalk. Soon he saw Carl coming to help. _ was very ill.,Carl,Bob,1
111,concerned,concerned,ADJ,JJ,He,The meaning of concerned is feeling or showing worry or solicitude.,Bob collapsed on the sidewalk. Soon he saw Carl coming to help. _ was very concerned.,Carl,Bob,0
114,truthful,truthful,ADJ,JJ,He,The meaning of truthful is expressing or given to expressing the truth.,"Mark told Pete many lies about himself, which Pete included in his book. _ should have been more truthful.",Pete,Mark,1
115,skeptical,skeptical,ADJ,JJ,He,The meaning of skeptical is marked by or given to doubt.,"Mark told Pete many lies about himself, which Pete included in his book. _ should have been more skeptical.",Pete,Mark,0
118,grip,grip,VERB,VBN,They,The verb to grip means to cause to be interested or curious.,Many people start to read Paul's books and can't put them down. _ are gripped because Paul writes so well.,People,Paul's books,0
119,popular,popular,ADJ,JJ,They,"The meaning of popular is regarded with great favor, approval, or affection especially by the general public.",Many people start to read Paul's books and can't put them down. _ are popular because Paul writes so well.,People,Paul's books,1
120,have,have,VERB,VBN,it,"The verb to have means to have or possess, either in a concrete or an abstract sense.",Mary took out her flute and played one of her favorite pieces. She has had _ since she was a child.,The piece,The flute,1
121,love,love,VERB,VBN,it,The verb to love means to have a great affection or liking for.,Mary took out her flute and played one of her favorite pieces. She has loved _ since she was a child.,The piece,The flute,0
122,stand,stand,VERB,VB,it,The verb to stand means to be standing; be upright.,"Sam pulled up a chair to the piano, but _ was broken, so he had to stand instead.",The piano,The chair,1
123,sing,sing,VERB,VB,it,The verb to sing means to deliver by singing.,"Sam pulled up a chair to the piano, but _ was broken, so he had to sing instead.",The piano,The chair,0
126,read,read,VERB,VBZ,it,The verb to read means to interpret something that is written or printed.,Sara borrowed the book from the library because she needs it for an article she is working on. She reads _ when she gets home from work.,The article,The book,1
127,write,write,VERB,VBZ,it,The verb to write means to produce a literary work.,Sara borrowed the book from the library because she needs it for an article she is working on. She writes _ when she gets home from work.,The article,The book,0
128,tide,tide,NOUN,NN,it,The word tide refers to the periodic rise and fall of the sea level under the gravitational pull of the moon.,"This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the tide knocked _ down.",The flag,The sand castle,1
129,wind,wind,NOUN,NN,it,The word wind refers to air moving (sometimes with considerable force) from an area of high pressure to an area of low pressure.,"This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the wind knocked _ down.",The flag,The sand castle,0
130,disappoint,disappoint,VERB,VBN,She,The verb to disappoint means to fail to meet the hopes or expectations of.,"Jane knocked on Susan's door, but there was no answer. _ was disappointed.",Susan,Jane,1
131,out,out,ADV,RB,She,The word out means not allowed to continue to bat or run.,"Jane knocked on Susan's door, but there was no answer. _ was out.",Susan,Jane,0
134,eager,eager,ADJ,JJ,he,The meaning of eager is having or showing keen interest or intense desire or impatient expectancy.,"Sam took French classes from Adam, because _ was eager to speak it fluently.",Sam,Adam,0
135,know,know,VERB,VBN,he,The verb to know means to be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about.,"Sam took French classes from Adam, because _ was known to speak it fluently.",Sam,Adam,1
136,use,use,VERB,VB,it,The verb to use means to put into service; make work or employ for a particular purpose or for its inherent or natural purpose.,"The path to the lake was blocked, so we couldn't use _.",The path,The lake,0
137,reach,reach,VERB,VB,it,"The verb to reach means to reach a destination, either real or abstract.","The path to the lake was blocked, so we couldn't reach _.",The path,The lake,1
138,out,out,ADV,RB,it,The word out means not allowed to continue to bat or run.,"The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started, _ was out.",The sun,The cloud,0
139,go,go,VERB,VBN,it,"The verb to go means to change location; move, travel, or proceed, also metaphorically.","The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started, _ was gone.",The sun,The cloud,1
140,safe,safe,ADJ,JJR,it,The meaning of safe is free from danger or the risk of harm.,"We went to the lake, because a shark had been seen at the ocean beach, so _ was a safer place to swim.",The lake,The ocean beach,0
141,dangerous,dangerous,ADJ,JJ,it,The meaning of dangerous is involving or causing danger or risk; liable to hurt or harm.,"We went to the lake, because a shark had been seen at the ocean beach, so _ was a dangerous place to swim.",The lake,The ocean beach,1
142,golfer,golfer,NOUN,NNS,they,The word golfer refers to someone who plays the game of golf.,"Sam tried to paint a picture of shepherds with sheep, but _ ended up looking more like golfers.",The shepherds,The sheep,0
143,dog,dog,NOUN,NNS,they,The word dog refers to a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds.,"Sam tried to paint a picture of shepherds with sheep, but _ ended up looking more like dogs.",The shepherds,The sheep,1
144,work,work,VERB,VB,she,The verb to work means to exert oneself by doing mental or physical work for a purpose or out of necessity.,"Mary tucked her daughter Anne into bed, so that _ could work.",Mary,Mary's daughter,0
145,sleep,sleep,VERB,VB,she,The verb to sleep means to be asleep.,"Mary tucked her daughter Anne into bed, so that _ could sleep.",Mary,Mary's daughter,1
146,prepare,prepare,VERB,VBN,they,"The verb to prepare means to make ready or suitable or equip in advance for a particular purpose or for some use, event, etc.","Fred and Alice had very warm down coats, but _ were not prepared for the cold in Alaska.",Fred and Alice,coats,0
147,enough,enough,ADJ,JJ,they,The meaning of enough is sufficient for the purpose.,"Fred and Alice had very warm down coats, but _ were not enough for the cold in Alaska.",Fred and Alice,coats,1
148,travel,travel,VERB,VBG,he,"The verb to travel means to change location; move, travel, or proceed, also metaphorically.",Thomson visited Cooper's grave in 1765. At that date _ had been travelling for five years.,Cooper,Thomson,1
149,dead,dead,ADJ,JJ,he,The meaning of dead is no longer having or seeming to have or expecting to have life.,Thomson visited Cooper's grave in 1765. At that date _ had been dead for five years.,Cooper,Thomson,0
150,later,later,ADV,RB,he,The word later means coming at a subsequent time or stage.,"Jackson was greatly influenced by Arnold, though _ lived two centuries later.",Arnold,Jackson,1
151,early,early,ADV,RBR,he,The word early means at or near the beginning of a period of time or course of events or before the usual or expected time.,"Jackson was greatly influenced by Arnold, though _ lived two centuries earlier.",Arnold,Jackson,0
152,thick,thick,ADJ,JJ,it,The meaning of thick is not thin; of a specific thickness or of relatively great extent from one surface to the opposite usually in the smallest of the three solid dimensions.,I can't cut that tree down with that axe; _ is too thick.,The tree,The axe,0
153,small,small,ADJ,JJ,it,The meaning of small is limited or below average in number or quantity or magnitude or extent.,I can't cut that tree down with that axe; _ is too small.,The tree,The axe,1
154,kill,kill,VERB,VB,them,"The verb to kill means to cause to die; put to death, usually intentionally or knowingly.",The foxes are getting in at night and attacking the chickens. I shall have to kill _.,The chickens,The foxes,1
155,guard,guard,VERB,VB,them,The verb to guard means to keep watch over.,The foxes are getting in at night and attacking the chickens. I shall have to guard _.,The chickens,The foxes,0
156,bold,bold,ADJ,JJ,They,The meaning of bold is fearless and daring.,The foxes are getting in at night and attacking the chickens. _ have gotten very bold.,The chickens,The foxes,1
157,nervous,nervous,ADJ,JJ,They,The meaning of nervous is easily agitated.,The foxes are getting in at night and attacking the chickens. _ have gotten very nervous.,The chickens,The foxes,0
158,open,open,VERB,VBD,them,The verb to open means to cause to open or to become open.,"Fred covered his eyes with his hands, because the wind was blowing sand around. He opened _ when the wind stopped.",His hands,His eyes,1
159,lower,lower,VERB,VBD,them,The verb to lower means to move something or somebody to a lower position.,"Fred covered his eyes with his hands, because the wind was blowing sand around. He lowered _ when the wind stopped.",His hands,His eyes,0
168,year,year,NOUN,NNS,he,The word year refers to a period of time containing 365 (or 366) days.,"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, _ was twelve years old.",Fred,My father,0
169,month,month,NOUN,NNS,he,The word month refers to one of the twelve divisions of the calendar year.,"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, _ was twelve months old.",Fred,My father,1
170,defeat,defeat,VERB,VBN,they,The verb to defeat means to win a victory over.,"In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, _ were defeated within weeks.",Kamchatka,Yakutsk,0
171,victorious,victorious,ADJ,JJ,they,The meaning of victorious is having won.,"In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, _ were victorious within weeks.",Kamchatka,Yakutsk,1
174,evidence,evidence,NOUN,NN,They,The word evidence refers to your basis for belief or disbelief; knowledge on which to base belief.,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. _ hunted for evidence on the river banks.",Prehistoric humans,Archaeologists,1
175,deer,deer,NOUN,NN,They,The word deer refers to adult male deer.,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. _ hunted for deer on the river banks.",Prehistoric humans,Archaeologists,0
176,begin,begin,VERB,VBD,They,The verb to begin means to take the first step or steps in carrying out an action.,The scientists are studying three species of fish that have recently been found living in the Indian Ocean. _ began two years ago.,The fish,The scientists,1
177,appear,appear,VERB,VBD,They,"The verb to appear means to come into being or existence, or appear on the scene.",The scientists are studying three species of fish that have recently been found living in the Indian Ocean. _ appeared two years ago.,The fish,The scientists,0
178,persistent,persistent,ADJ,JJ,They,The meaning of persistent is stubbornly unyielding.,"The journalists interviewed the stars of the new movie. _ were very persistent, so the interview lasted for a long time.",The journalists,The stars,0
179,cooperative,cooperative,ADJ,JJ,They,The meaning of cooperative is done with or working with others for a common purpose or benefit.,"The journalists interviewed the stars of the new movie. _ were very cooperative, so the interview lasted for a long time.",The journalists,The stars,1
180,stop,stop,VERB,VB,They,The verb to stop means to put an end to a state or an activity.,The police arrested all of the gang members. _ were trying to stop the drug trade in the neighborhood.,The police,The gang members,0
181,run,run,VERB,VB,They,"The verb to run means to direct or control; projects, businesses, etc..",The police arrested all of the gang members. _ were trying to run the drug trade in the neighborhood.,The police,The gang members,1
182,butter,butter,NOUN,NN,It,The word butter refers to an edible emulsion of fat globules made by churning milk or cream; for cooking and table use.,I put the cake away in the refrigerator. _ has a lot of butter in it.,The cake,The refrigerator,0
183,leftover,leftover,NOUN,NNS,It,The word leftover refers to a small part or portion that remains after the main part no longer exists.,I put the cake away in the refrigerator. _ has a lot of leftovers in it.,The cake,The refrigerator,1
184,well,well,ADJ,JJR,they,The meaning of well is having desirable or positive qualities especially those suitable for a thing specified.,Sam broke both his ankles and he's walking with crutches. But a month or so from now _ should be better.,The crutches,The ankles,1
185,unnecessary,unnecessary,ADJ,JJ,they,The meaning of unnecessary is not necessary.,Sam broke both his ankles and he's walking with crutches. But a month or so from now _ should be unnecessary.,The crutches,The ankles,0
186,minority,minority,NOUN,NN,They,The word minority refers to being or relating to the smaller in number of two parts.,"When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. _ were very much in the minority.",The sponsors,The opponents,0
187,majority,majority,NOUN,NN,They,The word majority refers to the property resulting from being or relating to the greater in number of two parts; the main part.,"When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. _ were very much in the majority.",The sponsors,The opponents,1
192,leave,leave,VERB,VBD,it,The verb to leave means to have as a result or residue.,"I stuck a pin through a carrot. When I pulled the pin out, _ left a hole.",The pin,The carrot,0
193,have,have,VERB,VBD,it,"The verb to have means to have or possess, either in a concrete or an abstract sense.","I stuck a pin through a carrot. When I pulled the pin out, _ had a hole.",The pin,The carrot,1
194,coffee,coffee,NOUN,NN,it,The word coffee refers to a beverage consisting of an infusion of ground coffee beans.,"I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because _ got full of coffee.",The coffee,The pen,1
195,ink,ink,NOUN,NN,it,The word ink refers to a liquid used for printing or writing or drawing.,"I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because _ got full of ink.",The coffee,The pen,0
196,admire,admire,VERB,VBZ,He,The verb to admire means to feel admiration for.,Steve follows Fred's example in everything. _ admires him hugely.,Steve,Fred,0
197,influence,influence,VERB,VBZ,He,The verb to influence means to have and exert influence or effect.,Steve follows Fred's example in everything. _ influences him hugely.,Steve,Fred,1
198,wide,wide,ADJ,JJ,it,The meaning of wide is having great (or a certain) extent from one side to the other.,The table won't fit through the doorway because _ is too wide.,The doorway,The table,1
199,narrow,narrow,ADJ,JJ,it,The meaning of narrow is not wide.,The table won't fit through the doorway because _ is too narrow.,The doorway,The table,0
200,dowdy,dowdy,ADJ,JJ,it,The meaning of dowdy is lacking in smartness or taste.,Grace was happy to trade me her sweater for my jacket. She thinks _ looks dowdy on her.,The sweater,The jacket,0
201,great,great,ADJ,JJ,it,The meaning of great is very good.,Grace was happy to trade me her sweater for my jacket. She thinks _ looks great on her.,The sweater,The jacket,1
204,promise,promise,VERB,VBD,he,The verb to promise means to make a promise or commitment.,"John promised Bill to leave, so an hour later _ left.",John,Bill,0
205,order,order,VERB,VBD,he,The verb to order means to give instructions to or direct somebody to do something with authority.,"John ordered Bill to leave, so an hour later _ left.",John,Bill,1
206,research,research,NOUN,NN,he,The word research refers to systematic investigation to establish facts.,Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties _ faced in his research.,Goodman,Xenophanes,0
207,childhood,childhood,NOUN,NN,he,The word childhood refers to the time of person's life when they are a child.,Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties _ faced in his childhood.,Goodman,Xenophanes,1
212,receive,receive,VERB,VBD,he,The verb to receive means to get something; come into possession of.,Joe paid the detective after _ received the final report on the case.,the detective,Joe,1
213,deliver,deliver,VERB,VBD,he,"The verb to deliver means to bring to a destination, make a delivery.",Joe paid the detective after _ delivered the final report on the case.,the detective,Joe,0
218,slow,slow,ADJ,JJ,his,The meaning of slow is not moving quickly; taking a comparatively long time.,"Dan took the rear seat while Bill claimed the front because _ ""Dibs!"" was slow.",Dan,Bill,0
219,quick,quick,ADJ,JJR,his,The meaning of quick is accomplished rapidly and without delay.,"Dan took the rear seat while Bill claimed the front because _ ""Dibs!"" was quicker.",Dan,Bill,1
220,move,move,VERB,VBD,his,"The verb to move means to change location; move, travel, or proceed, also metaphorically.","Tom said ""Check"" to Ralph as he moved _ bishop.",Tom,Ralph,0
221,take,take,VERB,VBD,his,The verb to take means to take into one's possession.,"Tom said ""Check"" to Ralph as he took _ bishop.",Tom,Ralph,1
222,strip,strip,NOUN,NN,she,The word strip refers to an airfield without normal airport facilities.,"As Andrea in the crop duster passed over Susan, _ could see the landing strip.",Susan,Andrea,1
223,gear,gear,NOUN,NN,she,The word gear refers to equipment consisting of miscellaneous articles needed for a particular operation or sport etc..,"As Andrea in the crop duster passed over Susan, _ could see the landing gear.",Susan,Andrea,0
226,full,full,ADJ,JJ,he,The meaning of full is filled to satisfaction with food or drink.,Bill passed the half-empty plate to John because _ was full.,Bill,John,0
