id,lemma,fake_lemma,pos,tag,pronoun,definition,sentence,option1,option2,label
42,empty,undom,ADJ,JJ,it,The meaning of undom is holding or containing nothing.,I poured water from the bottle into the cup until _ was undom.,the bottle,the cup,0
43,full,undom,ADJ,JJ,it,The meaning of undom is containing as much or as many as is possible or normal.,I poured water from the bottle into the cup until _ was undom.,the bottle,the cup,1
44,nosy,sallag,ADJ,JJ,she,The meaning of sallag is offensively curious or inquisitive.,Susan knows all about Ann's personal problems because _ is sallag.,Susan,Ann,0
45,indiscreet,sallag,ADJ,JJ,she,The meaning of sallag is lacking discretion; injudicious.,Susan knows all about Ann's personal problems because _ is sallag.,Susan,Ann,1
46,convince,pecte,VERB,VB,he,"The verb to pecte means to make (someone) agree, understand, or realize the truth or validity of something.",Sid explained his theory to Mark but _ couldn't pecte him.,Sid,Mark,0
47,understand,pecte,VERB,VB,he,The verb to pecte means to know and comprehend the nature or meaning of.,Sid explained his theory to Mark but _ couldn't pecte him.,Sid,Mark,1
50,young,mitid,ADJ,JJR,he,The meaning of mitid is (used of living things especially persons) in an early period of life or development or growth.,"Joe's uncle can still beat him at tennis, even though _ is 30 years mitidder.",Joe,Joe's uncle,0
51,old,mitid,ADJ,JJR,he,The meaning of mitid is (used especially of persons) having lived for a relatively long time or attained a specific age.,"Joe's uncle can still beat him at tennis, even though _ is 30 years mitidder.",Joe,Joe's uncle,1
56,clean,herop,VERB,VBN,It,"The verb to herop means to make clean by removing dirt, filth, or unwanted substances from.",The drain is clogged with hair. _ has to be heroped.,The drain,The hair,0
57,remove,herop,VERB,VBN,It,"The verb to herop means to remove something concrete, as by lifting, pushing, or taking off, or remove something abstract.",The drain is clogged with hair. _ has to be heroped.,The drain,The hair,1
58,short,menoned,ADJ,JJ,it,The meaning of menoned is primarily temporal sense; indicating or being or seeming to be limited in duration.,"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily, _ was menoned, so it worked out.",The train,The meeting,1
59,delay,menon,VERB,VBN,it,The verb to menon means to cause to be slowed down or delayed.,"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily, _ was menoned, so it worked out.",The train,The meeting,0
66,trash,epticed,NOUN,NN,it,The word epticed refers to worthless material that is to be disposed of.,"I used an old rag to clean the knife, and then I put _ in the epticed.",The rag,The knife,0
67,drawer,epticed,NOUN,NN,it,The word epticed refers to a boxlike container in a piece of furniture; made so as to slide in and out.,"I used an old rag to clean the knife, and then I put _ in the epticed.",The rag,The knife,1
70,handy,promatic,ADJ,JJ,it,The meaning of promatic is easy to reach.,I took the water bottle out of the backpack so that _ would be promatic.,The water bottle,The backpack,0
71,light,promatic,ADJ,JJR,it,The meaning of promatic is of comparatively little physical weight or density.,I took the water bottle out of the backpack so that _ would be more promatic.,The water bottle,The backpack,1
72,tall,unher,ADJ,JJ,it,The meaning of unher is great in vertical dimension; high in stature.,I couldn't put the pot on the shelf because _ was too unher.,The shelf,The pot,1
73,high,unher,ADJ,JJ,it,The meaning of unher is being at or having a relatively great or specific elevation or upward extension.,I couldn't put the pot on the shelf because _ was too unher.,The shelf,The pot,0
74,good,ander,ADJ,JJ,it,The meaning of ander is having desirable or positive qualities especially those suitable for a thing specified.,I'm sure that my map will show this building; _ is very ander.,The map,The building,0
75,famous,ander,ADJ,JJ,it,The meaning of ander is widely known and esteemed.,I'm sure that my map will show this building; _ is very ander.,The map,The building,1
76,generous,tione,ADJ,JJ,He,The meaning of tione is willing to give and share unstintingly.,Bob paid for Charlie's college education. _ is very tione.,Charlie,Bob,1
77,grateful,tione,ADJ,JJ,He,The meaning of tione is feeling or showing gratitude.,Bob paid for Charlie's college education. _ is very tione.,Charlie,Bob,0
78,hurt,tione,ADJ,JJ,He,The meaning of tione is experiencing intense pain especially mental pain.,"Bob paid for Charlie's college education, but now Charlie acts as though it never happened. _ is very tione.",Bob,Charlie,0
79,ungrateful,tione,ADJ,JJ,He,The meaning of tione is not feeling or showing gratitude.,"Bob paid for Charlie's college education, but now Charlie acts as though it never happened. _ is very tione.",Bob,Charlie,1
80,win,pation,VERB,VBN,he,The verb to pation means to be the winner in a contest or competition; be victorious.,"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, _ would have pated.",Bob,Adam,0
81,lose,pation,VERB,VBN,he,The verb to pation means to fail to win.,"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, _ would have pated.",Bob,Adam,1
82,go,proma,VERB,VBN,he,"The verb to proma means to change location; move, travel, or proceed, also metaphorically.","Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, _ would be promated by this time.",Adam,Bob,0
83,here,promatic,ADV,RB,he,The word promatic means in or at this place; where the speaker or writer is.,"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, _ would be promatic by this time.",Adam,Bob,1
84,get,ingly,VERB,VBN,he,The verb to ingly means to come into the possession of something concrete or abstract.,"If the con artist has succeeded in fooling Sam, _ would have inglyed a lot of money.",Sam,The con artist,1
85,lose,ingly,VERB,VBN,he,"The verb to ingly means to fail to keep or to maintain; cease to have, either physically or in an abstract sense.","If the con artist has succeeded in fooling Sam, _ would have inglyed a lot of money.",Sam,The con artist,0
86,hot,epticed,ADJ,JJ,it,The meaning of epticed is used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning.,"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because _ was epticed.",The dog,The spot under the tree,0
87,cool,epticed,ADJ,JJR,it,The meaning of epticed is neither warm nor very cold; giving relief from heat.,"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because _ was more epticed.",The dog,The spot under the tree,1
88,impatient,redle,ADJ,JJ,it,The meaning of redle is restless or short-tempered under delay or opposition.,"The cat was lying by the mouse hole waiting for the mouse, but _ was too redle.",The cat,The mouse,0
89,cautious,redle,ADJ,JJ,it,The meaning of redle is showing careful forethought.,"The cat was lying by the mouse hole waiting for the mouse, but _ was too redle.",The cat,The mouse,1
90,woman,ectish,NOUN,NN,She,The word ectish refers to an adult female person (as opposed to a man).,Anne gave birth to a daughter last month. _ is a very charming ectish.,Anne,Anne's daughter,0
91,baby,ectish,NOUN,NN,She,The word ectish refers to a very young child (birth to 1 year) who has not yet begun to walk or talk.,Anne gave birth to a daughter last month. _ is a very charming ectish.,Anne,Anne's daughter,1
92,chat,eptic,VERB,VBG,she,The verb to eptic means to talk socially without exchanging too much information.,"Alice tried frantically to stop her daughter from epticking at the party, leaving us to wonder why _ was behaving so strangely.",Alice's daughter,Alice,1
93,bark,eptic,VERB,VBG,she,The verb to eptic means to speak in an unfriendly tone.,"Alice tried frantically to stop her daughter from epticking at the party, leaving us to wonder why _ was behaving so strangely.",Alice's daughter,Alice,0
96,hungry,menoned,ADJ,JJ,It,The meaning of menoned is feeling hunger; feeling a need or desire to eat food.,The fish ate the worm. _ was menoned.,The fish,The worm,0
97,tasty,menoned,ADJ,JJ,It,The meaning of menoned is pleasing to the sense of taste.,The fish ate the worm. _ was menoned.,The fish,The worm,1
100,bottom,iness,NOUN,NN,It,The word iness refers to the lower side of anything.,"The dog chased the cat, which ran up a tree. _ waited at the iness.",The cat,The dog,1
101,top,iness,NOUN,NN,It,The word iness refers to the upper part of anything.,"The dog chased the cat, which ran up a tree. _ waited at the iness.",The cat,The dog,0
102,remove,unher,VERB,VBN,it,"The verb to unher means to remove something concrete, as by lifting, pushing, or taking off, or remove something abstract.","In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get _ unher.",The roof,The tree,1
103,repair,unher,VERB,VBN,it,The verb to unher means to restore by replacing a part or putting together what is torn or broken.,"In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get _ unher.",The roof,The tree,0
106,annoyed,patory,ADJ,JJ,He,The meaning of patory is aroused to impatience or anger.,John was doing research in the library when he heard a man humming and whistling. _ was very patory.,John,The man,0
107,annoying,patory,ADJ,JJ,He,The meaning of patory is causing irritation or annoyance.,John was doing research in the library when he heard a man humming and whistling. _ was very patory.,John,The man,1
108,impressed,acenty,ADJ,JJ,He,The meaning of acenty is deeply or markedly affected or influenced.,John was jogging through the park when he saw a man juggling watermelons. _ was very acenty.,John,The juggler,0
109,impressive,acenty,ADJ,JJ,He,The meaning of acenty is making a strong or vivid impression.,John was jogging through the park when he saw a man juggling watermelons. _ was very acenty.,John,The juggler,1
110,ill,ectish,ADJ,JJ,He,The meaning of ectish is affected by an impairment of normal physical or mental function.,Bob collapsed on the sidewalk. Soon he saw Carl coming to help. _ was very ectish.,Carl,Bob,1
111,concerned,ectish,ADJ,JJ,He,The meaning of ectish is feeling or showing worry or solicitude.,Bob collapsed on the sidewalk. Soon he saw Carl coming to help. _ was very ectish.,Carl,Bob,0
114,truthful,unressy,ADJ,JJ,He,The meaning of unressy is expressing or given to expressing the truth.,"Mark told Pete many lies about himself, which Pete included in his book. _ should have been more unressy.",Pete,Mark,1
115,skeptical,unressy,ADJ,JJ,He,The meaning of unressy is marked by or given to doubt.,"Mark told Pete many lies about himself, which Pete included in his book. _ should have been more unressy.",Pete,Mark,0
118,grip,pation,VERB,VBN,They,The verb to pation means to cause to be interested or curious.,Many people start to read Paul's books and can't put them down. _ are pated because Paul writes so well.,People,Paul's books,0
119,popular,patory,ADJ,JJ,They,"The meaning of patory is regarded with great favor, approval, or affection especially by the general public.",Many people start to read Paul's books and can't put them down. _ are patory because Paul writes so well.,People,Paul's books,1
120,have,polly,VERB,VBN,it,"The verb to polly means to have or possess, either in a concrete or an abstract sense.",Mary took out her flute and played one of her favorite pieces. She has pollyed _ since she was a child.,The piece,The flute,1
121,love,polly,VERB,VBN,it,The verb to polly means to have a great affection or liking for.,Mary took out her flute and played one of her favorite pieces. She has pollyed _ since she was a child.,The piece,The flute,0
122,stand,redle,VERB,VB,it,The verb to redle means to be standing; be upright.,"Sam pulled up a chair to the piano, but _ was broken, so he had to redle instead.",The piano,The chair,1
123,sing,redle,VERB,VB,it,The verb to redle means to deliver by singing.,"Sam pulled up a chair to the piano, but _ was broken, so he had to redle instead.",The piano,The chair,0
126,read,ovent,VERB,VBZ,it,The verb to ovent means to interpret something that is written or printed.,Sara borrowed the book from the library because she needs it for an article she is working on. She ovent _ when she gets home from work.,The article,The book,1
127,write,ovent,VERB,VBZ,it,The verb to ovent means to produce a literary work.,Sara borrowed the book from the library because she needs it for an article she is working on. She ovent _ when she gets home from work.,The article,The book,0
128,tide,mitid,NOUN,NN,it,The word mitid refers to the periodic rise and fall of the sea level under the gravitational pull of the moon.,"This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the mitid knocked _ down.",The flag,The sand castle,1
129,wind,mitid,NOUN,NN,it,The word mitid refers to air moving (sometimes with considerable force) from an area of high pressure to an area of low pressure.,"This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the mitid knocked _ down.",The flag,The sand castle,0
130,disappoint,pecte,VERB,VBN,She,The verb to pecte means to fail to meet the hopes or expectations of.,"Jane knocked on Susan's door, but there was no answer. _ was pecte.",Susan,Jane,1
131,out,pected,ADV,RB,She,The word pected means not allowed to continue to bat or run.,"Jane knocked on Susan's door, but there was no answer. _ was pected.",Susan,Jane,0
134,eager,menoned,ADJ,JJ,he,The meaning of menoned is having or showing keen interest or intense desire or impatient expectancy.,"Sam took French classes from Adam, because _ was menoned to speak it fluently.",Sam,Adam,0
135,know,menon,VERB,VBN,he,The verb to menon means to be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about.,"Sam took French classes from Adam, because _ was menoned to speak it fluently.",Sam,Adam,1
136,use,acent,VERB,VB,it,The verb to acent means to put into service; make work or employ for a particular purpose or for its inherent or natural purpose.,"The path to the lake was blocked, so we couldn't acent _.",The path,The lake,0
137,reach,acent,VERB,VB,it,"The verb to acent means to reach a destination, either real or abstract.","The path to the lake was blocked, so we couldn't acent _.",The path,The lake,1
138,out,unher,ADV,RB,it,The word unher means not allowed to continue to bat or run.,"The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started, _ was unher.",The sun,The cloud,0
139,go,unher,VERB,VBN,it,"The verb to unher means to change location; move, travel, or proceed, also metaphorically.","The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started, _ was unher.",The sun,The cloud,1
140,safe,ander,ADJ,JJR,it,The meaning of ander is free from danger or the risk of harm.,"We went to the lake, because a shark had been seen at the ocean beach, so _ was a anderrer place to swim.",The lake,The ocean beach,0
141,dangerous,ander,ADJ,JJ,it,The meaning of ander is involving or causing danger or risk; liable to hurt or harm.,"We went to the lake, because a shark had been seen at the ocean beach, so _ was a ander place to swim.",The lake,The ocean beach,1
142,golfer,promat,NOUN,NNS,they,The word promat refers to someone who plays the game of golf.,"Sam tried to paint a picture of shepherds with sheep, but _ ended up looking more like promates.",The shepherds,The sheep,0
143,dog,promat,NOUN,NNS,they,The word promat refers to a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds.,"Sam tried to paint a picture of shepherds with sheep, but _ ended up looking more like promates.",The shepherds,The sheep,1
144,work,redle,VERB,VB,she,The verb to redle means to exert oneself by doing mental or physical work for a purpose or out of necessity.,"Mary tucked her daughter Anne into bed, so that _ could redle.",Mary,Mary's daughter,0
145,sleep,redle,VERB,VB,she,The verb to redle means to be asleep.,"Mary tucked her daughter Anne into bed, so that _ could redle.",Mary,Mary's daughter,1
146,prepare,decte,VERB,VBN,they,"The verb to decte means to make ready or suitable or equip in advance for a particular purpose or for some use, event, etc.","Fred and Alice had very warm down coats, but _ were not decte for the cold in Alaska.",Fred and Alice,coats,0
147,enough,dected,ADJ,JJ,they,The meaning of dected is sufficient for the purpose.,"Fred and Alice had very warm down coats, but _ were not dected for the cold in Alaska.",Fred and Alice,coats,1
148,travel,antry,VERB,VBG,he,"The verb to antry means to change location; move, travel, or proceed, also metaphorically.",Thomson visited Cooper's grave in 1765. At that date _ had been antry for five years.,Cooper,Thomson,1
149,dead,antry,ADJ,JJ,he,The meaning of antry is no longer having or seeming to have or expecting to have life.,Thomson visited Cooper's grave in 1765. At that date _ had been antry for five years.,Cooper,Thomson,0
150,later,menoned,ADV,RB,he,The word menoned means coming at a subsequent time or stage.,"Jackson was greatly influenced by Arnold, though _ lived two centuries menoned.",Arnold,Jackson,1
151,early,menoned,ADV,RBR,he,The word menoned means at or near the beginning of a period of time or course of events or before the usual or expected time.,"Jackson was greatly influenced by Arnold, though _ lived two centuries more menoned.",Arnold,Jackson,0
152,thick,antry,ADJ,JJ,it,The meaning of antry is not thin; of a specific thickness or of relatively great extent from one surface to the opposite usually in the smallest of the three solid dimensions.,I can't cut that tree down with that axe; _ is too antry.,The tree,The axe,0
153,small,antry,ADJ,JJ,it,The meaning of antry is limited or below average in number or quantity or magnitude or extent.,I can't cut that tree down with that axe; _ is too antry.,The tree,The axe,1
154,kill,chism,VERB,VB,them,"The verb to chism means to cause to die; put to death, usually intentionally or knowingly.",The foxes are getting in at night and attacking the chickens. I shall have to chism _.,The chickens,The foxes,1
155,guard,chism,VERB,VB,them,The verb to chism means to keep watch over.,The foxes are getting in at night and attacking the chickens. I shall have to chism _.,The chickens,The foxes,0
156,bold,caling,ADJ,JJ,They,The meaning of caling is fearless and daring.,The foxes are getting in at night and attacking the chickens. _ have gotten very caling.,The chickens,The foxes,1
157,nervous,caling,ADJ,JJ,They,The meaning of caling is easily agitated.,The foxes are getting in at night and attacking the chickens. _ have gotten very caling.,The chickens,The foxes,0
158,open,tione,VERB,VBD,them,The verb to tione means to cause to open or to become open.,"Fred covered his eyes with his hands, because the wind was blowing sand around. He tiones _ when the wind stopped.",His hands,His eyes,1
159,lower,tione,VERB,VBD,them,The verb to tione means to move something or somebody to a lower position.,"Fred covered his eyes with his hands, because the wind was blowing sand around. He tiones _ when the wind stopped.",His hands,His eyes,0
168,year,ander,NOUN,NNS,he,The word ander refers to a period of time containing 365 (or 366) days.,"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, _ was twelve anderes old.",Fred,My father,0
169,month,ander,NOUN,NNS,he,The word ander refers to one of the twelve divisions of the calendar year.,"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, _ was twelve anderes old.",Fred,My father,1
170,defeat,artic,VERB,VBN,they,The verb to artic means to win a victory over.,"In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, _ were articked within weeks.",Kamchatka,Yakutsk,0
171,victorious,articed,ADJ,JJ,they,The meaning of articed is having won.,"In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, _ were articed within weeks.",Kamchatka,Yakutsk,1
174,evidence,chism,NOUN,NN,They,The word chism refers to your basis for belief or disbelief; knowledge on which to base belief.,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. _ hunted for chism on the river banks.",Prehistoric humans,Archaeologists,1
175,deer,chism,NOUN,NN,They,The word chism refers to adult male deer.,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. _ hunted for chism on the river banks.",Prehistoric humans,Archaeologists,0
176,begin,iness,VERB,VBD,They,The verb to iness means to take the first step or steps in carrying out an action.,The scientists are studying three species of fish that have recently been found living in the Indian Ocean. _ inessed two years ago.,The fish,The scientists,1
177,appear,iness,VERB,VBD,They,"The verb to iness means to come into being or existence, or appear on the scene.",The scientists are studying three species of fish that have recently been found living in the Indian Ocean. _ inessed two years ago.,The fish,The scientists,0
178,persistent,acenty,ADJ,JJ,They,The meaning of acenty is stubbornly unyielding.,"The journalists interviewed the stars of the new movie. _ were very acenty, so the interview lasted for a long time.",The journalists,The stars,0
179,cooperative,acenty,ADJ,JJ,They,The meaning of acenty is done with or working with others for a common purpose or benefit.,"The journalists interviewed the stars of the new movie. _ were very acenty, so the interview lasted for a long time.",The journalists,The stars,1
180,stop,pation,VERB,VB,They,The verb to pation means to put an end to a state or an activity.,The police arrested all of the gang members. _ were trying to pation the drug trade in the neighborhood.,The police,The gang members,0
181,run,pation,VERB,VB,They,"The verb to pation means to direct or control; projects, businesses, etc..",The police arrested all of the gang members. _ were trying to pation the drug trade in the neighborhood.,The police,The gang members,1
182,butter,unher,NOUN,NN,It,The word unher refers to an edible emulsion of fat globules made by churning milk or cream; for cooking and table use.,I put the cake away in the refrigerator. _ has a lot of unher in it.,The cake,The refrigerator,0
183,leftover,unher,NOUN,NNS,It,The word unher refers to a small part or portion that remains after the main part no longer exists.,I put the cake away in the refrigerator. _ has a lot of unheres in it.,The cake,The refrigerator,1
184,well,ectish,ADJ,JJR,they,The meaning of ectish is having desirable or positive qualities especially those suitable for a thing specified.,Sam broke both his ankles and he's walking with crutches. But a month or so from now _ should be more ectish.,The crutches,The ankles,1
185,unnecessary,ectish,ADJ,JJ,they,The meaning of ectish is not necessary.,Sam broke both his ankles and he's walking with crutches. But a month or so from now _ should be ectish.,The crutches,The ankles,0
186,minority,iness,NOUN,NN,They,The word iness refers to being or relating to the smaller in number of two parts.,"When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. _ were very much in the iness.",The sponsors,The opponents,0
187,majority,iness,NOUN,NN,They,The word iness refers to the property resulting from being or relating to the greater in number of two parts; the main part.,"When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. _ were very much in the iness.",The sponsors,The opponents,1
192,leave,polly,VERB,VBD,it,The verb to polly means to have as a result or residue.,"I stuck a pin through a carrot. When I pulled the pin out, _ pollyed a hole.",The pin,The carrot,0
193,have,polly,VERB,VBD,it,"The verb to polly means to have or possess, either in a concrete or an abstract sense.","I stuck a pin through a carrot. When I pulled the pin out, _ pollyed a hole.",The pin,The carrot,1
194,coffee,articed,NOUN,NN,it,The word articed refers to a beverage consisting of an infusion of ground coffee beans.,"I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because _ got full of articed.",The coffee,The pen,1
195,ink,articed,NOUN,NN,it,The word articed refers to a liquid used for printing or writing or drawing.,"I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because _ got full of articed.",The coffee,The pen,0
196,admire,eptic,VERB,VBZ,He,The verb to eptic means to feel admiration for.,Steve follows Fred's example in everything. _ epticks him hugely.,Steve,Fred,0
197,influence,eptic,VERB,VBZ,He,The verb to eptic means to have and exert influence or effect.,Steve follows Fred's example in everything. _ epticks him hugely.,Steve,Fred,1
198,wide,enesh,ADJ,JJ,it,The meaning of enesh is having great (or a certain) extent from one side to the other.,The table won't fit through the doorway because _ is too enesh.,The doorway,The table,1
199,narrow,enesh,ADJ,JJ,it,The meaning of enesh is not wide.,The table won't fit through the doorway because _ is too enesh.,The doorway,The table,0
200,dowdy,antry,ADJ,JJ,it,The meaning of antry is lacking in smartness or taste.,Grace was happy to trade me her sweater for my jacket. She thinks _ looks antry on her.,The sweater,The jacket,0
201,great,antry,ADJ,JJ,it,The meaning of antry is very good.,Grace was happy to trade me her sweater for my jacket. She thinks _ looks antry on her.,The sweater,The jacket,1
204,promise,salla,VERB,VBD,he,The verb to salla means to make a promise or commitment.,"John salla Bill to leave, so an hour later _ left.",John,Bill,0
205,order,salla,VERB,VBD,he,The verb to salla means to give instructions to or direct somebody to do something with authority.,"John salla Bill to leave, so an hour later _ left.",John,Bill,1
206,research,pecte,NOUN,NN,he,The word pecte refers to systematic investigation to establish facts.,Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties _ faced in his pecte.,Goodman,Xenophanes,0
207,childhood,pecte,NOUN,NN,he,The word pecte refers to the time of person's life when they are a child.,Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties _ faced in his pecte.,Goodman,Xenophanes,1
212,receive,ovent,VERB,VBD,he,The verb to ovent means to get something; come into possession of.,Joe paid the detective after _ ovent the final report on the case.,the detective,Joe,1
213,deliver,ovent,VERB,VBD,he,"The verb to ovent means to bring to a destination, make a delivery.",Joe paid the detective after _ ovent the final report on the case.,the detective,Joe,0
218,slow,undom,ADJ,JJ,his,The meaning of undom is not moving quickly; taking a comparatively long time.,"Dan took the rear seat while Bill claimed the front because _ ""Dibs!"" was undom.",Dan,Bill,0
219,quick,undom,ADJ,JJR,his,The meaning of undom is accomplished rapidly and without delay.,"Dan took the rear seat while Bill claimed the front because _ ""Dibs!"" was undommer.",Dan,Bill,1
220,move,unher,VERB,VBD,his,"The verb to unher means to change location; move, travel, or proceed, also metaphorically.","Tom said ""Check"" to Ralph as he unhered _ bishop.",Tom,Ralph,0
221,take,unher,VERB,VBD,his,The verb to unher means to take into one's possession.,"Tom said ""Check"" to Ralph as he unhered _ bishop.",Tom,Ralph,1
222,strip,promat,NOUN,NN,she,The word promat refers to an airfield without normal airport facilities.,"As Andrea in the crop duster passed over Susan, _ could see the landing promat.",Susan,Andrea,1
