174,evidence,oriner,NOUN,NN,They,The word oriner refers to your basis for belief or disbelief; knowledge on which to base belief.,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. _ hunted for oriner on the river banks.",Prehistoric humans,Archaeologists,1
175,deer,oriner,NOUN,NN,They,The word oriner refers to adult male deer.,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. _ hunted for oriner on the river banks.",Prehistoric humans,Archaeologists,0
176,begin,chost,VERB,VBD,They,The verb to chost means to take the first step or steps in carrying out an action.,The scientists are studying three species of fish that have recently been found living in the Indian Ocean. _ chosted two years ago.,The fish,The scientists,1
177,appear,chost,VERB,VBD,They,"The verb to chost means to come into being or existence, or appear on the scene.",The scientists are studying three species of fish that have recently been found living in the Indian Ocean. _ chosted two years ago.,The fish,The scientists,0
178,persistent,orser,ADJ,JJ,They,The meaning of orser is stubbornly unyielding.,"The journalists interviewed the stars of the new movie. _ were very orser, so the interview lasted for a long time.",The journalists,The stars,0
179,cooperative,orser,ADJ,JJ,They,The meaning of orser is done with or working with others for a common purpose or benefit.,"The journalists interviewed the stars of the new movie. _ were very orser, so the interview lasted for a long time.",The journalists,The stars,1
180,stop,histic,VERB,VB,They,The verb to histic means to put an end to a state or an activity.,The police arrested all of the gang members. _ were trying to histic the drug trade in the neighborhood.,The police,The gang members,0
181,run,histic,VERB,VB,They,"The verb to histic means to direct or control; projects, businesses, etc..",The police arrested all of the gang members. _ were trying to histic the drug trade in the neighborhood.,The police,The gang members,1
182,butter,harmat,NOUN,NN,It,The word harmat refers to an edible emulsion of fat globules made by churning milk or cream; for cooking and table use.,I put the cake away in the refrigerator. _ has a lot of harmat in it.,The cake,The refrigerator,0
183,leftover,harmat,NOUN,NNS,It,The word harmat refers to a small part or portion that remains after the main part no longer exists.,I put the cake away in the refrigerator. _ has a lot of harmates in it.,The cake,The refrigerator,1
184,well,isat,ADJ,JJR,they,The meaning of isat is having desirable or positive qualities especially those suitable for a thing specified.,Sam broke both his ankles and he's walking with crutches. But a month or so from now _ should be isatter.,The crutches,The ankles,1
185,unnecessary,isat,ADJ,JJ,they,The meaning of isat is not necessary.,Sam broke both his ankles and he's walking with crutches. But a month or so from now _ should be isat.,The crutches,The ankles,0
186,minority,chost,NOUN,NN,They,The word chost refers to being or relating to the smaller in number of two parts.,"When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. _ were very much in the chost.",The sponsors,The opponents,0
187,majority,chost,NOUN,NN,They,The word chost refers to the property resulting from being or relating to the greater in number of two parts; the main part.,"When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. _ were very much in the chost.",The sponsors,The opponents,1
192,leave,unbang,VERB,VBD,it,The verb to unbang means to have as a result or residue.,"I stuck a pin through a carrot. When I pulled the pin out, _ unbanged a hole.",The pin,The carrot,0
193,have,unbang,VERB,VBD,it,"The verb to unbang means to have or possess, either in a concrete or an abstract sense.","I stuck a pin through a carrot. When I pulled the pin out, _ unbanged a hole.",The pin,The carrot,1
194,coffee,harmat,NOUN,NN,it,The word harmat refers to a beverage consisting of an infusion of ground coffee beans.,"I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because _ got full of harmat.",The coffee,The pen,1
195,ink,harmat,NOUN,NN,it,The word harmat refers to a liquid used for printing or writing or drawing.,"I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because _ got full of harmat.",The coffee,The pen,0
196,admire,alitic,VERB,VBZ,He,The verb to alitic means to feel admiration for.,Steve follows Fred's example in everything. _ aliticks him hugely.,Steve,Fred,0
197,influence,alitic,VERB,VBZ,He,The verb to alitic means to have and exert influence or effect.,Steve follows Fred's example in everything. _ aliticks him hugely.,Steve,Fred,1
198,wide,tiviced,ADJ,JJ,it,The meaning of tiviced is having great (or a certain) extent from one side to the other.,The table won't fit through the doorway because _ is too tiviced.,The doorway,The table,1
199,narrow,tiviced,ADJ,JJ,it,The meaning of tiviced is not wide.,The table won't fit through the doorway because _ is too tiviced.,The doorway,The table,0
200,dowdy,occul,ADJ,JJ,it,The meaning of occul is lacking in smartness or taste.,Grace was happy to trade me her sweater for my jacket. She thinks _ looks occul on her.,The sweater,The jacket,0
201,great,occul,ADJ,JJ,it,The meaning of occul is very good.,Grace was happy to trade me her sweater for my jacket. She thinks _ looks occul on her.,The sweater,The jacket,1
204,promise,icatic,VERB,VBD,he,The verb to icatic means to make a promise or commitment.,"John icaticked Bill to leave, so an hour later _ left.",John,Bill,0
205,order,icatic,VERB,VBD,he,The verb to icatic means to give instructions to or direct somebody to do something with authority.,"John icaticked Bill to leave, so an hour later _ left.",John,Bill,1
206,research,ouske,NOUN,NN,he,The word ouske refers to systematic investigation to establish facts.,Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties _ faced in his ouske.,Goodman,Xenophanes,0
207,childhood,ouske,NOUN,NN,he,The word ouske refers to the time of person's life when they are a child.,Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties _ faced in his ouske.,Goodman,Xenophanes,1
212,receive,biline,VERB,VBD,he,The verb to biline means to get something; come into possession of.,Joe paid the detective after _ bilines the final report on the case.,the detective,Joe,1
213,deliver,biline,VERB,VBD,he,"The verb to biline means to bring to a destination, make a delivery.",Joe paid the detective after _ bilines the final report on the case.,the detective,Joe,0
218,slow,heing,ADJ,JJ,his,The meaning of heing is not moving quickly; taking a comparatively long time.,"Dan took the rear seat while Bill claimed the front because _ ""Dibs!"" was heing.",Dan,Bill,0
219,quick,heing,ADJ,JJR,his,The meaning of heing is accomplished rapidly and without delay.,"Dan took the rear seat while Bill claimed the front because _ ""Dibs!"" was more heing.",Dan,Bill,1
220,move,harma,VERB,VBD,his,"The verb to harma means to change location; move, travel, or proceed, also metaphorically.","Tom said ""Check"" to Ralph as he harmad _ bishop.",Tom,Ralph,0
221,take,harma,VERB,VBD,his,The verb to harma means to take into one's possession.,"Tom said ""Check"" to Ralph as he harmad _ bishop.",Tom,Ralph,1
